Yeast Gene,Arabidopsis thaliana,Neocallimastix frontalis,Glomus intraradices,Schizosaccharomyces pombe,Saccharomyces cerevisiae,Yarrowia lipolytica,Neurospora crassa,Ustilago maydis,Candida albicans,Schistosoma mansoni,Caenorhabditis elegans,Aedes aegypti,Drosophila melanogaster,Strongylocentrotus purpuratus,Ciona intestinalis,Danio rerio,Xenopus laevis,Gallus gallus,Macaca mulatta,Pan troglodytes,Homo sapiens,Canis lupus familiaris,Oryctolagus cuniculus,Mus musculus,Rattus norvegicus,
P53141,,,,"Q09196","P53141","Q6C765","Q7S9P8","Q4PFY7",,,,,,,,,,,,,,,,,,
P38429,,,,,"P38429",,,,"Q59NY8",,,,,,,,,,,,,,,,,
P07273,"Q9ZVH8;Q8VXZ6",,,"P49373","P07273","Q6C6I8","Q7SHQ2","Q4P1X5","Q59T94",,,,,,,,,,,,,,,,,
Q05610,,,,,,,,,,,,,,,,,,,,,,,,,,
P32902,,,,,"P32902","Q6C1V9",,,"Q5A8K1",,,,,,,,,,,,,,,,,
Q05867,,,,,"Q05867",,,,"Q5AHI5",,,,,,,,,,,,,,,,,
P53687,,,,,"P53687","Q6CAJ8","Q7S386",,"Q5A1R1;Q5A1W9",,,,,,,,,,,,,,,,,
P25379,,,,,"P25379;P17324",,"Q9C2I1",,,,,,,,,,,,,,,,,,,
Q06697,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08485,,,,,,,,,,,,,,,,,,,,,,,,,,
P25612,,,,,"P42884;P25612;Q07747",,"Q7S8R6",,,,,,,,,,,,,,,,,,,
P36010,,,,"P49740","P36010","Q6C2B5","Q9UUY8",,"Q5AG68",,"Q93576",,,,,,,,,,,,,,,
Q04370,,,,,"Q04370","Q6C7N6",,,,,"Q19189",,"Q9VPT5",,,"Q6TNS0",,,,,"O00623",,,"Q5SWQ8","O88177",
P33338,,,,,"P33338",,,,,,,,,,,,,,,,,,,,,
P00635,,,,,"P00635;P24031;P35842;P52290;P38693",,,,,,,,,,,,,,,,,,,,,
P34240,,,,,"P34240",,,,"Q5AM41",,,,,,,,,,,,,,,,,
P32452,,,,"O14361","P32452","Q6CEA0","Q7RYQ1",,"Q5AEN4",,,,,,,,,,,,,,,,,
P40583,,,,,"P53379;Q12303;P40583;P12630",,,,,,,,,,,,,,,,,,,,,
P40068,,,,,,,,,,,,,,,,,,,,,,,,,,
P38848,,,,,,,,,,,,,,,,,,,,,,,,,,
P33304,,,,,,,,,,,,,,,,,,,,,,,,,,
P30283,,,,,"P32943;P30283",,,,,,,,,,,,,,,,,,,,,
P04786,,,,"P07799","P04786","Q6C7R2","Q7S0F7","P41511","Q59WV6;Q59XR0;Q00313",,,,,,,,,,,,,,,,,
Q08218,,,,,,,,,,,,,,,,,,,,,,,,,,
P53629,,,,,"P53629",,,,,,,,,,,,,,,,,,,,,
P53730,,,,,"P53730","Q6CDA1","Q7SCP3",,"Q5A5B6",,,,,,,,,,,,,,,,,
P40535,,,,,"P40535",,,,,,,,,,,,,,,,,,,,,
P54199,,,,,"P54199",,,,"Q6GVZ1",,,,,,,,,,,,,,,,,
P38872,,,,,,,,,,,,,,,,,,,,,,,,,,
P32892,,,,,"P32892",,,,,,"Q95XM9",,"Q9V378",,,"Q6DRN0","Q4V836","Q5ZLD0",,,"Q96GQ7",,,"Q921N6",,
Q12467,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06709,,,,,"Q06709",,,,"Q5A356",,,,,,,,,,,,,,,,,
P25610,,,,,,,,,,,,,,,,,,,,,,,,,,
P36108,,,,"O14177","P36108","Q6C7J2","Q7RXS4","Q4P4U8","Q5A501",,"Q9U2F6","Q17LI1",,,,"A7MCL9;Q7ZW25",,"Q5ZHN1",,,"O43633",,,"Q9DB34",,
Q06820,,,,,,,,,,,,,,,,,,,,,,,,,,
Q05518,,,,,,,,,,,,,,,,,,,,,,,,,,
P07277,"P46086",,,"Q09780","P07277","Q6CEF6","Q9C2B7","Q4P317","Q5APF6",,"Q65XX8;Q65XX9;Q9N4Z7;Q65XY0","Q176C1","Q7K2V9",,,"Q5U3I7;A2BGN1",,,,,"Q03426;Q59ET9",,,"Q9R008;Q3UEB4","P17256",
P39960,,,,,"P39960",,,,,,,,,,,,,,,,,,,,,
P00420,,,,"P14575","P00420","Q9B6D8","P00422",,,,,,,,,,,,,,,,,,,
P47046,,,,,"P47046",,,,,,,,,,,,,,,,,,,,,
Q12109,,,,"Q09692","Q12109;Q6B1Y2","Q6CFA0",,"Q4P7W5","Q5A3P4",,,,,,,,,,,,,,,,,
Q08465,,,,,,,,,,,,,,,,,,,,,,,,,,
P16550,,,,,"P16550",,,,,,"O76612",,,,,,,,,,,,,,,
P05735,"Q9LUQ6;Q9SRX2;P49693;Q8W101",,,"P05734;O42699","P05735","Q6C4N4","Q7S5N9","Q4PE29","Q5ANJ7",,,,,,,,,,,,,,,,,
Q08550,,,,,,,,,,,,,,,,,,,,,,,,,,
P42838,,,,,"P42838",,,,,,,,,,,,,,,,,,,,,
Q02754,,,,,,,,,,,,,,,,,,,,,,,,,,
P18410,,,,,"P18410",,,,,,,,,,,,,,,,,,,,,
P28737,,,,"Q9P7J5","P28737","Q6CAW8","Q7SAQ2","Q4PHA3",,,,,,,,,,,,,,,,"Q3UMC0",,
P00425,,,,,,,,,,,,,,,,,,,,,,,,,,
P38745,,,,,,,,,,,,,,,,,,,,,,,,,,
P40358,,,,,"P40358",,,,,,,,,,,,,,,,,,,,,
P35996,,,,"O94292","P35996",,,,,,,,,,,,,,,,,,,,,
P33331,,,,"Q10100","P33331","Q6CC82","P87102",,"Q9P926",,"Q21735",,"Q9VJ85;Q9VRD6",,,,,,,,,,,,,
Q03558,,,,,"Q03558;Q6Q596",,,,,,,,,,,,,,,,,,,,,
Q12354,"O49635;Q84WK4",,,,"Q12354","Q6CGL4",,,"Q5AGD1",,,,,,,,,,,,,,,,,
P54964,"Q2V453;Q9ZVE0",,,"O94626","P54964;Q6B1S5","Q6C4G7",,"Q4P645",,,"Q17819","Q16XI3;Q16XI2","Q9VCI0",,,"Q6PBY4","Q5PPS2",,,,,,,"Q9D8S4;Q3UD20;Q78KL9;Q3T9B4;Q3TAV0","Q5U1X1",
P40070,,,,"O14352","P40070","Q6CGF6","Q7S9L9","Q4P617",,,,,,,,,,,,,,,,,,
P32858,,,,,,,,,,,,,,,,,,,,,,,,,,
P38207,,,,"P87175","P38207;Q6B197",,,,,,"Q18644",,,,,"Q803D4","Q6DDT4",,,,"Q9UBZ4",,,"Q68G58",,
P24309,"Q94K01",,,"O13765","P24309","Q6C9G7","Q8X0M0",,"Q59M71",,,,"Q9VSD7",,,,"Q7ZWU9",,,,"Q13810;P17405",,,"Q923B1",,
Q12114,"Q9FVX6",,,"Q92357","Q12114","Q6C5Q3",,"Q4PAM3","O74161",,,,,,,,,,,,,,,,,
P38691,,,,,"P38691",,,,,,,,,,,,,,,,,,,,,
Q05949,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12493,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12171,,,,,,,,,,,,,,,,,,,,,,,,,,
O13528,,,,,"Q04706;O74302;Q12217;Q03964;Q12266;Q12162;O13528;Q04215;Q12391;Q12085;Q99209;P47099;Q12441;Q03856;Q92392;Q6Q5H1;P08405;Q12470;Q12231;Q12485;P47097",,,,,,,,,,,,,,,,,,,,,
P43619,,,,,"P43619","Q6C6R1","Q1K940;Q9P3R9","Q4P6K1","Q5A7A7;Q5A7I3",,,,,,,,"Q6AZR1",,,,"Q15274",,,"Q91X91","Q5I0M2",
P38692,,,,"O75011","P38692",,,,,,,,,,,,,,,,,,,,,
P33297,,,,"O14126","P33297","Q6C9Q7","Q7RZ60",,,,,,,,,,,,,,,,,,,
P39933,,,,,"P39933",,,,,,,,,,"Q1RLH3",,,,,,,,,,,
P22147,,,,,"P22147","Q6CAZ5","Q7S7J5","Q4PFP6","Q5AL09;Q5ALD4",,,,,,,,,,,,,,,,,
Q12161,"Q8VYZ0",,,"Q9P3U8","Q12161",,,,,,,,,,,,,,,,"Q96T88;Q86T96",,,"Q8VDF2",,
Q12277,,,,"O60124","Q12277",,,,"Q59LD7",,,,,,,,,,,,,,,,,
Q99208,,,,,,,,,,,,,,,,,,,,,,,,,,
P53217,,,,,"P53217;Q45U57",,,,,,,,,,,,,,,,,,,,,
Q12116,"Q494Q0",,,"Q9HDY3","Q12116","Q6H9P1;Q6CHG9","Q7SAQ3","Q4P3Y7","Q59M29",,,,,,,,,,,,,,,,,
P46965,,,,,"P46965",,,,,,,,,,,,,,,,,,,,,
P39516,,,,,"P39516",,,,,,,,,,,,,,,,,,,,,
P43614,,,,"O14346","P43614","Q6C203",,,"Q59QN4",,,,,,,,,,,,,,,,,
Q04902,,,,,"Q6Q581;Q08992;Q04902;Q04432;Q08914",,,,"Q5AEL7;Q5AF03;Q6YK78",,,,,,,,,,,,,,,,,
Q06497,,,,,"Q06497","Q6C780","Q7RZP8","Q4PF56",,,,,,,,,,,,,,,,,,
Q12472,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99316,,,,,,,,,,,,,,,,,,,,,,,,,,
P36131,,,,,"P36131",,,,,,,,,,,,,,,,,,,,,
P41920,,,,"Q09717","P41920","Q6CEJ9","Q7RXR6","Q4PBF4","Q5AAL2;Q9HF92",,,,,,,,"Q6GR67",,,,,,,,,
Q3E768,,,,,,,,,,,,,,,,,,,,,,,,,,
P48743,,,,"P48383","P48743",,"Q7S7M7;Q871R8",,,,,,,,,,,,,,,,,,,
P12351,,,,,"P12351",,"Q7RXD3",,,,,,,,,,,,,,,,,,,
Q08979,,,,,"Q08979",,,,,,,,,,,,,,,,,,,,,
P07390,,,,,"P07390",,,,,,,,,,,,,,,,,,,,,
Q12503,,,,,,,,,,,,,,,,,,,,,,,,,,
P53140,,,,,,,,,,,,,,,,,,,,,,,,,,
P38764,,,,"P87048","P38764","Q6CFX0","Q7S8R8","Q4PAF8",,,,,,,,,,,,,,,,,,
P39109,,,,"Q10185;Q9P5N0","P39109","Q6C4N2","Q7S0S1","Q4PBE5",,,,,,,,,,,,,,,,,,
P04801,"O04630;Q8GZ45",,,"P87144","P04801","Q6C234","Q7S4U7","Q4P4W5","Q59LB4",,"P52709",,"Q9VKB0",,,,,,,,,,,"Q8BLY2",,
P47176,,,,"O14370","P47176;P38891",,"Q7S699",,,,,,,,,,,,,,,,,,,
Q07978,,,,,,,,,,,,,,,,,,,,,,,,,,
P28004,,,,,"P28004",,,,,,,,,,,,,,,,,,,,,
P39941,,,,,"P39941",,,,,,,,,,,,,,,,,,,,,
Q08580,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02889,,,,"P79082","Q02889","Q6C043","Q7SDL7","Q4P1I1","Q5ABA8",,"Q93511","Q16YX8","Q9VUM2",,,"Q6NYD1","Q4V7T9",,,,"P60602",,,,,
P14736,,,,"P87235","P14736",,,,,,,,,,,,,,,,,,,,,
Q03212,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08645,"Q8W035",,,"O74742","Q08645","Q6C4Q7","Q7SFD9;O13492",,"Q59TE8;Q59TB5;Q9Y893",,"Q95QJ2;Q09509",,"Q8MRU3;Q9VQW0;Q9VYL1",,,,,,,,"Q05932",,,"P48760;Q99K38",,
Q06628,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08204,"Q9LFS8",,,"O13710","Q08204","Q6C5K8","Q7SCT0",,,,"Q18237",,"Q7YU66;Q8IPT2;Q8T386;Q7KTV9",,,,"Q805A1","Q5ZJY5",,,"Q8IY18",,,"Q8CG46",,
P27809,,,,,"P27809",,,,,,,,,,,,,,,,,,,,,
P53115,,,,,"P53115",,,,,,,"Q16MC2",,,,,,,,,,,,,,
P33734,"Q9SZ30;Q8GX14",,,"O94303","P33734","Q6CCR8","Q870Y9","Q4P7Q5","Q9HFV7",,,,,,,,,,,,,,,,,
P40414,,,,,,,,,,,,,,,,,,,,,,,,,,
P43563,,,,"O74558","P43563","Q6CGQ2",,"Q4PEX1","Q5ABC6",,,,,,,,,,,,,,,,,
P19881,,,,"Q00472","P19881","Q6C484","Q7RYN9",,"Q59WC5",,,,,,,,,,,,,,,,,
P38116,,,,,"P38116","Q6BZT6","Q7S2Y0",,"Q5AMP3",,,,,,,,,,,,,,,,,
Q04545,,,,"P78871","Q04545",,,,,,,,,,,,,,,,,,,,,
P38921,,,,"O94344;Q10442","P38921","Q6CBG0","Q96U23",,,,"Q18934","Q1HRJ2;Q0IFB1","Q9VBN7",,,"Q4V9P0","Q641C8",,,,"Q70HW3",,,"Q5U680",,
Q06632,"Q9FGR0;Q8H1T4",,,"O74733","Q06632","Q6C740","Q7SEY2","Q4P4L9","Q5AFT3",,"Q9N4C2","Q17N25","Q9V726",,,"Q6DRG0",,,,,"Q10570",,,"Q9EPU4","B5DEL2",
Q03419,,,,,"Q03419",,,,,,,,,,,,,,,,,,,,,
Q12283,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08162,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12343,,,,,"Q12343","Q8WZL6",,,"Q59U73",,,,,,,,,,,,,,,,,
P48234,,,,,"P48234","Q6CG90","Q7RZA7",,,,,,"Q9V3P2",,,"Q802W4","Q7T0Q5",,,,"Q9BSC4",,,"Q3TUB5","Q66H99",
Q07748,,,,,,,,,,,,,,,,,,,,,,,,,,
P40459,,,,,"P40459","Q6CFK9",,,,,,,,,,,,,,,,,,,,
P38954,,,,,"P38954",,,,,,,,,,,,,,,,,,,,,
P00899,"Q944Q5",,,"O94582","P00899","Q6C5V8","Q872P4","Q4PHV9","Q5A9B9;Q5A9L8",,,,,,,,,,,,,,,,,
P53074,,,,,,,,,,,,,,,,,,,,,,,,,,
P50105,,,,,"P50105","Q6C2N6",,,"Q59U67",,,,,,,,,,,,,,,,,
P40523,,,,,,,,,,,,,,,,,,,,,,,,,,
P22276,"Q9FKF1",,,"Q10233","P22276","Q6CEE6","Q9P6E7","Q4PBR7","Q59M52",,"Q27492",,"P25167",,,"A2BG99",,,,,"Q9NW08;B3KV73;A8K6H0;Q7Z3R8",,,"P59470;Q3TMK3",,
Q08906,,,,,,,,,,,,,,,,,,,,,,,,,,
P14063,,,,"Q9UR27","P14063","Q6C7C6",,,"Q5ALU1",,,,,,,,,,,,,,,,,
Q06412,,,,,"Q06412",,,,,,,,,,,,,,,,,,,,,
P80667,,,,"O14136","P80667","Q6CCX4","Q7SG02","Q4P9P8",,,,,,,,"Q6PFQ3",,"P07751",,,"Q92968",,,"Q9D0K1",,
Q12675,,,,"Q09891","Q12675;P32660",,"Q7SF11",,,,,,,,,,,,,,,,,,,
P30656,,,,"P30655","P40302;P30656","Q6CEJ2","Q7SD84",,"Q59Z65",,,,,,,,,,,,"P28062",,,,,
P47170,,,,"O74788","P47170","Q6CAP3","Q7S9J6","Q4PE51","Q5AIA4",,,,,,,,,,,,,,,,,
P32582,,,,,"P32582;O94073","Q6C6J2","Q7S3M7",,"Q59T95",,"Q9N4K2;Q23264","Q16YQ7","Q9VRD9",,,,"Q7ZXW6",,,,"Q9NTF0;P35520",,"Q9N0V7","Q91WT9","P32232",
Q12344,,,,"Q10496","Q12344",,"Q7RUP0",,,,,,,,,,,,,,,,,,,
P47130,,,,,"P47130",,,,,,,,,,,,,,,,,,,,,
P40093,,,,"Q9P7T6","P40093","Q6C7V8","Q7RW75",,"Q59T99;Q59TJ7",,"O17606",,,,,,"Q6GPT1;Q5PPU7",,,,"Q9HB07;Q86UA3",,,"Q9JK81;Q8R038","Q641W2",
Q05123,,,,"Q9UTQ7","Q05123","Q6CF23",,,"Q5A9X7",,,,,,,,,,,,,,,,,
P25638,,,,,"P25638",,,,,,,,,,,"Q6ZM24",,,,,,,,,,
Q00955,,,,"P78820","Q00955","Q6CC91","Q7SBL5","Q4P5I4",,,,,,,,"A2BGP4",,,,,,,,,,
Q04839,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06469,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12404,,,,,,,,,,,,,,,,,,,,,,,,,,
P38841,,,,,"P38841","Q6C241","Q8WZY3",,,,,,,,,,,,,,,,,,,
Q12020,,,,,,,,,,,,,,,,,,,,,,,,,,
P40492,,,,,"P40492",,,,"Q5A4G9",,,,,,,,,,,,,,,,,
P11938,,,,,"P11938",,,,"Q59XT2;Q76MU1;Q59XX8",,,,,,,,,,,,,,,,,
Q99195,,,,,,,,,,,,,,,,,,,,,,,,,,
P22855,,,,"Q9UT61","P22855","Q6C883","Q7S1L0",,"Q5AF38",,,,,,,,,,,,"Q9NTJ4",,,"Q8BWY6","P21139",
P38251,,,,"O94697","P38251","Q6CB59","Q8X082","Q4PG43","Q5AD38;Q5ADH0",,,,,,,,,,,,,,,,,
P38825,,,,,"P38825",,,,,,"Q9N3E0",,"Q9VHA8",,,,,,,,,,,"Q8BMX6",,
P40084,,,,,"P40084",,,,,,,,,,,,,,,,,,,,,
P40446,,,,,,,,,,,,,,,,,,,,,,,,,,
P25558,,,,,"P25558",,,,,,,,,,,,,,,,,,,,,
P11927,,,,,,,,,,,,,,,,,,,,,,,,,,
P53086,"Q9SCJ4;Q0WPV9",,,"O14343;O59751","P53086","Q6C6P8","Q7S5E4","Q4PEA3","Q5A4I2",,,,,,,,,"Q5ZLK6",,,,,,"Q6PFD6","Q4KLL9",
P36006,,,,,"Q04439;P36006",,,,,,,,,,,,,,,,,,,,,
P37297,,,,"Q9USR3","P37297","Q6C4B9","Q7SCR6",,"Q59L14;Q59L18",,,"Q17PY3",,,,"Q49GP4","Q6DDG3",,,,"P42356",,,"Q6DIC7","O08662",
P23337,,,,,"P23337",,,,,,,,,,,,,,,,,,,,,
P38329,,,,"O60146","P38329","Q6CFS0",,,,,,,,,,,,,,,,,,,,
P43538,,,,,,,,,,,,,,,,,,,,,,,,,,
Q03787,,,,,,,,,,,,,,,,,,,,,,,,,,
P38246,,,,,,,,,,,,,,,,,,,,,,,,,,
P10962,,,,,"P10962",,,,"Q59P36",,,,,,,,,,,,,,,,,
P38735,,,,,"P38735",,,,,,,,,,,,,,,,,,,,,
Q99252,,,,,"Q99252",,,,,,,,,,,,,,,,,,,,,
Q03954,,,,"Q50HP3","Q03954","Q6C070","Q7SGL5",,"Q59QH6",,,,,,,,,,,,,,,,,
P06700,,,,,"P53685;P06700",,,,"Q5APK3",,,,,,,,,,,,,,,,,
P53171,,,,,,,,,,,,,,,,,,,,,,,,,,
Q03860,,,,,,,,,,,,,,,,,,,,,,,,,,
P53311,,,,,"P53311;P38857","Q6CD72",,,,,,,,,,,,,,,,,,,,
P38355,,,,,"Q6B2Z0;P38355",,,,,,,,,,,,,,,,,,,,,
P38254,,,,,"P38254","Q6CC87","Q7S6G3",,"Q5AMM5",,,,,,,,,,,,,,,,,
P36166,,,,,"P36166",,,,,,,,,,,,,,,,,,,,,
P32364,,,,,"P32364",,,,,,,,,,,,,,,,,,,,,
P69850,,,,,,,,,,,,,,,,,,,,,,,,,,
P40489,,,,,"P40489","Q6C1G3",,"Q4P535","Q59MF8",,,,,,,,,,,,,,,,,
P43602,,,,,,,,,,,,,,,,,,,,,,,,,,
P38782,,,,,"P38782",,,,"Q5A2Z1",,,,,,,,,,,,,,,,,
P40033,,,,,"P40033","Q6C424","Q872A7",,"Q59KY7",,,,,,,,,,,,,,,,,
P39522,,,,,"P39522","Q6CAY2",,,"Q5AJY2",,,,,,,,,,,,,,,,,
P34251,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07738,,,,,,,,,,,,,,,,,,,,,,,,,,
P37261,,,,,,,,,,,,,,,,,,,,,,,,,,
P29366,,,,"P40996","P29366","Q8J0E4","Q7S9S2","Q4P2F2","Q6LE69;Q5AMK1;Q5AN06",,"Q9U2Z5",,,,,,,,,,,,,,,
P46679,,,,,"P46679;P36085",,,,,,,,,,,,,,,,,,,,,
P38321,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07540,"Q9ZR07",,,"O74831","Q07540","Q6C5T7","Q7S0W3","Q4P635","Q59PA3",,"Q9TY03","Q17GN6","Q9W385",,,"A2RRV1",,,,,"Q16595",,,"Q3UG34;O35943",,
Q05530,"Q9SUF2;Q93WH0",,,,"Q05530",,,,"Q5AET4;Q5AEE9",,,,"Q8T427;Q9VMI0",,,,,,,,,,,"Q9CWB7",,
P53148,,,,,"P53148",,,,,,,,,,,,,,,,,,,,,
P38999,"Q9SMZ4",,,"O59711","Q6B170;P38999","Q6C844","Q9C2G6","Q4P245","Q5A2W3",,"O44503",,"Q9VLX0",,,,,,,,"Q9UDR5",,,"Q99K67",,
Q04311,"Q9LPC8",,,"O74977","Q04311",,"Q7SER9",,,,,,,,,,,,,,,,,,,
Q05029,,,,,"Q05029",,,,,,,,,,,,,,,,,,,,,
Q06053,,,,,,,,,,,,,,,,,,,,,,,,,,
P00931,,,,"O13831","P00931","Q6C0G7","Q9URN9;Q9URN8;Q9URP1;P13228;Q9URP0",,"Q59KP3",,,,,,,,,,,,,,,,,
P53080,,,,,,,,,,,,,,,,,,,,,,,,,,
P38360,,,,,"Q12685;P38360;Q9P983",,"Q7S316",,,,,,,,,,,,,,,,,,,
P40565,,,,,"P40565",,,,,,,,,,,,,,,,,,,,,
Q04746,,,,,,,,,,,,,,,,,,,,,,,,,,
P53822,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3E801,,,,,,,,,,,,,,,,,,,,,,,,,,
P39965,,,,,"P39965",,,"Q4P129","P78600",,,,"Q9VZY9",,,,,,,,"Q7L3T8",,,"Q8CFI5","Q5M7W7",
Q12223,,,,,"Q12223",,,,"Q59K44",,,,,,,,,,,,,,,,,
P33201,"Q9FRH5;Q94AK8",,,"Q9USZ6","P33201","Q6BZS2","Q7S302","Q4PHU5","Q5AC00",,"Q19302","Q174I7","Q7K1Q7",,,"Q568C9","Q7SZU0",,,,"Q9UKD2",,,"Q9QYY3;A2AMU9;A2AMV1;Q9D0I8",,
P53131,"Q9LZQ9;O22899",,,"O42945","P53131","Q6CEH2",,,"Q5AJA5",,"Q8MQ21;Q20875","Q17CT5","Q9V4K1",,,,"Q6NU35","Q5F3A9",,,,,,,,
Q12154,"Q9LPD0;Q949M9",,,"Q9P7F8","Q12154","Q6C3M9","Q870U4","Q4P7S5","Q5AI88",,"P30632","Q16MG9","Q8SZC0;Q7JWD3",,,"Q6IQE5","Q6GNQ1",,,,"O43681",,,"Q3TAQ4;O54984","Q4G022",
P39932,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3E705,,,,"Q09867","Q3E705",,,,,,,,,,,,,,,,,,,,,
P32497,,,,"O14164","P32497","Q6C855","Q7SBD4","Q4P0P0","Q5AML1",,,,,,,,,,,,,,,,,
Q12316,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04734,,,,,,,,,,,,,,,,,,,,,,,,,,
P32864,,,,"O60112","P32864","Q6C2P8","Q7SGX8",,"O93831;Q5ADQ8",,,,,,,,,,,,,,,,,
P09734,,,,"P04688;P04689","P09733;P09734","Q6C5C0","P38669",,"P87066",,,,,,,,,,,,,,,,,
P38858,,,,,"P38858",,,,,,,,,,,,,,,,,,,,,
P53745,,,,,"P53745;P53059",,,,,,,,,,,,,,,,,,,,,
Q08444,,,,"Q9UTK0","Q08444","Q6C1J1","Q7S0A4;Q870W9","Q4PF08","Q59SR4",,,,,,,,,,,,,,,,,
P25336,"O65607",,,"P26359","P25336","Q6CHE5","Q7SD11","Q4P6I8","Q59Y41",,,,,,,,,,,,"P20585",,,"P13705;Q8CGC9",,
Q8TGS6,,,,,,,,,,,,,,,,,,,,,,,,,,
P47026,,,,"Q9UTL4","P47026","Q6CAW6","Q7SCL1",,"Q873N2",,"Q9N493","Q176D1","Q9W096",,,,,,,,"Q7Z7B1",,,"Q8C398","Q7TSN4",
Q3E744,,,,,,,,,,,,,,,,,,,,,,,,,,
P47976,,,,,"P47977;P47976",,,,,,,,,,,,,,,,,,,,,
Q06512,"Q8VZE1",,,"O94372","Q06512","Q6C106","Q7SE72",,,,,,"Q9W4R2;Q9W4R1",,,"Q4VBT2","Q6NRQ2;Q6NU91","Q5ZJC7",,,"Q9BVI4",,,"Q8BHY2;Q3T9T2","Q5I0I8",
P53295,,,,"P32235","P53295","Q6CEU1","Q8X0M9;Q1K853","Q4PDX6","Q5AK43",,"P34280","Q16MM8","Q9VDV2",,,"Q6XMI4;Q6TH20","Q76FS4","Q5ZL61",,,"B2R8G5;A8MZF9;P55039;Q53Y50",,,"Q9QXB9;Q5SX94",,
Q04225,,,,"Q9P783","Q04225","Q6CBR7","Q7S1P4","Q4PGG1","Q59PD8",,"Q9N393",,,,,,"Q6GN22",,,,,,,,,
P39110,,,,,"P39110",,,,,,"Q09654",,,,,,,,,,,,,,,
P08524,,,,"O14230","P08524","Q6C6W3","Q92250",,"Q59TD9",,,,,,,,,,,,,,,,,
P43592,,,,,"P43592",,,,,,,,,,,,,,,,,,,,,
P41733,"Q3ECJ6;Q3ECJ7;Q94K70;Q9LN74",,,"O13883","P41733","Q6C5L4","Q7SFC3",,,,,,,,,,,,,,,,,,,
P53299,,,,"Q10481","P53299","Q6CA05","Q7SBR3","Q4PGT2","Q5AF54",,,,,,"Q1RL94",,,,,,,,,,,
P43598,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8TGJ2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12325,,,,,,,,,,,,,,,,,,,,,,,,,,
P42949,"Q93VV9;Q9FLS3;Q93W66;Q9LX43",,,"Q9C1W5","P42949","Q6C331","Q7S6S4",,"Q59ZW9",,,,,,,,,,,,,,,,,
P32772,,,,,"P32772",,,,,,,,,,,,,,,,,,,,,
Q3E823,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08689,,,,,,,,,,,,,,,,,,,,,,,,,,
Q05779,,,,,,,,,,,,,,,,,,,,,,,,,,
P18899,,,,,,,,,,,,,,,,,,,,,,,,,,
P38820,"Q2V2Y4;Q9ZNW0",,,"Q09810","P38820","Q6CBK1","Q7SEE2",,"Q59WH7",,"O44510","Q17CA7","Q8T486;Q9VLJ8",,,"Q6IQE7;Q8AWD2","Q58E95",,,,"O95396",,,"A2BDX3",,
P34165,,,,,,,,,,,,,,,,,,,,,,,,,,
P54074,,,,,,,,,,,,,,,,,,,,,,,,,,
P41695,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12355,,,,"O74411","Q12355",,,,,,,,,,,,,,,,,,,,,
P38125,,,,,"P38125",,,,"Q5A6K1",,,,,,,,,,,,,,,,,
P43593,"Q84WC6;Q949Y0",,,"Q92353;Q9UTT1","P43593","Q6CAG8","Q7SH87;Q96U79","Q4PC23","Q5ABA7",,"Q17361",,"Q9VKZ8",,,"Q803B3","Q641D7",,,"P60051","Q53XY5;P54578",,"P40826","Q9JMA1;Q80UN0","Q5U2N2",
P39955,,,,"Q9P3U2","P39955","Q6CDV8",,,"Q5ACT4",,,,,,,,,,,,,,,,,
P32916,"Q9M0A0",,,"O43032","P32916",,"A7UVV7",,,,,"Q178J5","Q9U5L1",,,,,"Q5F390",,,,"P06625",,,"Q3KRC3",
P47152,,,,,,,,,,,,,,,,,,,,,,,,,,
P02407,"Q9SJ36;P49205;Q9LZ17;Q9SQZ1",,,"O42984;Q9P7J6","P14127;P02407","Q6C1P8",,,,,,,,,,,,,,,,,,,,
P32047,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12374,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07074,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08726,"Q56XY2;Q9FMR4",,,"Q9UTL7","Q08726","Q6C8G4","Q7SEI0","Q4PH87",,,"O01426","Q16P30","Q9VU67",,,"Q6PUR6","Q66KF6",,,,"Q9H9Y4",,,"A2A9F7;Q8VEJ1;A2A9E9",,
