E. coli K12 gene,"Pseudomonas aeruginosa","Pseudomonas fluorescens","Salmonella typhimurium","Yersinia pestis","Vibrio cholerae","Vibrio fischeri ES114","Vibrio fischeri MJ11","Haemophilus influenzae","Rickettsia prowazekii","Helicobacter pylori","Staphylococcus aureus","Bacillus subtilis","Bacillus anthracis","Streptococcus pneumoniae","Deinococcus radiodurans","Chlamydia trachomatis","Chlamydophila pneumoniae","Aquifex aeolicus","Thermotoga maritima","Mycobacterium tuberculosis","Nocardia farcinica","Streptomyces coelicolor","Borrelia burgdorferi","Treponema pallidum","Mycoplasma genitalium","Mycoplasma pneumoniae","Sulfolobus solfataricus","Aeropyrum pernix","Halobacterium salinarum","Pyrococcus furiosus"""
FIS_ECOLI,"Q9HUW0",,,"Q8ZAX8","P64127","Q5E260",,"P44966",,,,,,,,,,,,,,,,,,,,,,
FIU_ECOLI,"O68590;O68599;Q9I422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIXA_ECOLI,,,"Q8ZRX0",,,,,,,,,,,,,,,,,,,,,,,,,,,
FIXC_ECOLI,,,"Q8ZRW9",,,,,,,,,,,,,,,,,,,,,,,,,,,
FKBA_ECOLI,,,"Q8ZLL6","16120534;Q8CWG3","Q9KV04","Q5E8C5",,"P44760",,,,,,,,,,,,,,,,,,,,,,
FLAV_ECOLI,,,"Q8ZQX1","16122846","Q9KQA1",,,"P44562",,,,,,,,,,,,,,,,,,,,,,
FLAW_ECOLI,,,"P0A1N6","Q8CZW4;16121198","Q9KPE8",,,,,,,,,,,,,,,,,,,,,,,,,
FLGA_ECOLI,,,"P40131",,,,,,,,,,,,,,,,,,,,,,,,,,,
FLGE_ECOLI,,,"P0A1J1",,,,,,,,,,,,,,,,,,,,,,,,,,,
FLGK_ECOLI,,,"P0A1J5",,,,,,,,,,,,,,,,,,,,,,,,,,,
FLGL_ECOLI,,,"P16326","Q0WFY4",,,,,,,,,,,,,,,,,,,,,,,,,,
FLHA_ECOLI,,,"P40729","Q7CHX3",,,,,,,,,,,,,,,,,,,,,,,,,,
FLID_ECOLI,,,"P16328","Q7CHZ9",,,,,,,,,,,,,,,,,,,,,,,,,,
FLIE_ECOLI,,,"P26462","Q8ZF85",,,,,,,,,,,,,,,,,,,,,,,,,,
FLIF_ECOLI,,,"P15928","Q7CHZ5",,,,,,,,,,,,,,,,,,,,,,,,,,
FLIG_ECOLI,"Q51464",,,"16122082","Q9X4Q9",,,,,,,,,,,,,,,,,,,,,,,,,
FLIH_ECOLI,,,"P15934",,,,,,,,,,,,,,,,,,,,,,,,,,,
FLII_ECOLI,,,"P26465","Q8D0B1;Q0WFW5",,,,,,,,,,,,,,,,,,,,,,,,,,
FLIK_ECOLI,,,"P26416",,,,,,,,,,,,,,,,,,,,,,,,,,,
FLIM_ECOLI,,,"P26418","Q7CHZ1",,,,,,,,,,,,,,,,,,,,,,,,,,
FLIN_ECOLI,,,"P26419",,,,,,,,,,,,,,,,,,,,,,,,,,,
FLIR_ECOLI,,,"P54702",,,,,,,,,,,,,,,,,,,,,,,,,,,
FLIT_ECOLI,,,"P0A1N2","Q8D0B5",,,,,,,,,,,,,,,,,,,,,,,,,,
FMT_ECOLI,"O85732",,"Q8ZLM6","Q8ZJ80","Q9KVU4","Q5E1Q7",,"P44787",,,,,,,,,,,,,,,,"O83737",,,,,,
FNR_ECOLI,"P23926","AAC38593",,"Q8ZE82","P0C6D0",,,"P45199",,,,,,,,,,,,,,,,,,,,,,
FOCB_ECOLI,,,,,"Q9KRE7","Q5DZB3",,,,,,,,,,,,,,,,,,,,,,,,
FOLC_ECOLI,"Q9HZA8",,"Q8ZNC0","16122973;Q8D0U0","Q9KTA2","Q5E457",,"P43775","Q9ZD14",,,,,,,,,"O67833",,"O53174",,"Q9L1G4;O08416",,,,,,,,
FOLD_ECOLI,"Q9I2U6",,"P58688","16123021;Q7CJY7","Q9KQQ6","Q5E3Y1",,"P44313",,,,,,,,,,,,,,,,,,,,,,
FOLX_ECOLI,"Q9HYG7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPG_ECOLI,"Q9L7T2",,"O54326","Q8ZJP0","Q9KVC5","Q5E8M1",,"P44948",,,,,,,,,,,,,,,,,,,,,,
FRDA_ECOLI,,,,"16120695","Q9KNS5","Q5E2B7",,"P44894",,,,,,,,,,"O66855",,"P64174",,,,,,,,"Q9YDG3",,
FRDB_ECOLI,,,"Q8ZKB4","16120694","Q9KNS4","Q5E2B6",,"Q83U97;1074114;Q83V82;Q83U93;P44893",,,,,,,,,,,,"Q10761",,,,,,,,"Q9YDG7",,
FRE_ECOLI,,,"Q9L6L9","Q8D1H8;16123904","Q9KV46","Q5E8T9",,,,,,,,,,,,,,,,,,,,,,,,
FRLD_ECOLI,,,"Q8ZLD1",,,,,,,,,"O32153",,,,,,,,,,,,,,,,,,
FRLR_ECOLI,,,,,,,,,,,,"O32152",,,,,,,,,,,,,,,,,,
FRMA_ECOLI,,,"Q8ZPA8",,,,,"P44557",,,,,,,,,,,,,,,,,,,,,,
FRMR_ECOLI,,,"Q8ZPA7",,,,,,,,,,,,,,,,,,,,,,,,,,,
FRSA_ECOLI,,,"P37722","Q8D170","Q9KPT6","Q5E6W2",,,,,,,,,,,,,,,,,,,,,,,,
FSAB_ECOLI,,,"Q8ZKM8",,,,,,,,,,,,,,,,,,,,,,,,,,,
FTNB_ECOLI,,,"Q8ZNU4","Q8D099","Q9KVR1",,,,,,,,,,,,,,,,,,,,,,,,,
FTSH_ECOLI,"Q9HV48",,,"Q8D1D4;16123648","Q9KU86","Q5E7M2",,"P45219;P71377","Q9ZEA2","O25060",,,,,,,,,,"P0C5C0",,"Q9X8I4",,"O83746","P47695","P75120",,,,
FTSK_ECOLI,"Q9I0M3",,"Q8ZQD5","Q8ZGC7","Q84I33","Q5E6E6",,"P45264",,,,,,,,,,,,,,,,,,,,,,
FTSQ_ECOLI,"Q9LCT5",,"Q7CR81","Q74Q73;Q7CGB1","Q9KPG9",,,"P45067","Q9ZDS5",,,,,,,,,,,,,,,,,,,,,
FTSX_ECOLI,,,"Q8ZLF0",,"Q9KVJ4","Q5E200",,"P44872",,,,,,,,,,,,,,,,,,,,,,
FTSY_ECOLI,"Q9I6C1",,"Q8ZLE9","16123948;Q74R49;Q8D1J2","Q9KVJ6","Q5E1Z8",,"P44870",,,,,,,"Q9RS67",,,,,,,,,,,,,,,"Q8U051"""
FTSZ_ECOLI,,,"Q8ZRU0",,,,,,,,,,,,,,,,,,,,,,,,,,,
FUCA_ECOLI,,,"Q8ZMC7",,,,,"P44777",,,,,,,,,,,,,,,,,,,,,,
FUCI_ECOLI,,,"Q8ZMC6",,,,,"P44779;1169775",,,,,,"Q97N97",,,,,,,,,,,,,,,,
FUCK_ECOLI,,,"Q8ZMC5",,,,,"Q8KRQ9;Q83TC5;Q99QQ7;Q99Q17;Q99Q70;Q99Q19;Q99PZ0;Q83TA9;Q83TA8;Q99Q43;Q9AMQ7;P44399;Q83UB2;Q99QL1;Q99QM9;Q9AMQ8;Q83V81",,,,,,,,,,,,,,,,,,,,,,
FUCO_ECOLI,,,"Q8ZMC8",,,,,,,,,,,,,,,,,,,,,,,,,,,
FUMA_ECOLI,,,"P40720",,,,,,,,,,,,,,,,,,,,,,,,,,,
FUMB_ECOLI,,,"Q8ZKE2",,,,,,,,,,,,,,,,,,,,,,,,,,,
FUMC_ECOLI,"Q9I587",,"Q8ZPL7","Q8ZEB6",,,,"P71384",,,,,,,,,,,,,,,,,,,,,,
G3P1_ECOLI,,,,"16122389",,,,,,,,,,,,,,,,,,,,,,,,,,
G6PD_ECOLI,"O68282",,"Q8ZNW2","16122305;Q8D0F3",,,,,,,,,,,,,,,,,,,,,,,,,,
G6PI_ECOLI,,,"Q8ZKI4","Q8ZAS2","Q9KUY4","Q5E847","A9IUP1","P44312",,,,,,,,,,,,,,,,,,,,,,
GABD_ECOLI,"Q9I6M5",,"Q8ZMM2",,,,,,,,,,,,,,,,,,,,,,,,,,,
GABT_ECOLI,"Q9I6M4",,"Q8ZMM1",,,,,,,,,"O34662",,,,,,,,,,,,,,,,,,
GADX_ECOLI,,,"Q93GS4;Q04819",,,,,,,,,,,,,,,,,,,,,,,,,,,
GAL1_ECOLI,,,"P22713",,,,,"P31767;CAA46731",,,,,,,,,,,,"P96910",,"Q9K3S8",,,,,,,,
GAL7_ECOLI,,,,,"Q9KRP0",,,"P31764",,,,,,,,,,,,,,,,,,,,,,
GALE_ECOLI,,,"P22715",,,,,,,,,,,,,,,,,,,,,,,,,,,
GALM_ECOLI,,,"Q8ZQS1",,"Q9KRP2",,,"P31765",,,,,,,,,,,,,,,,,,,,,,
GALP_ECOLI,,,"Q7CPT9",,,,,,,,,,,,,,,,,,,,,,,,,,,
GALR_ECOLI,,,"P74866","Q74RZ8;Q8CZX9;16121107","Q9KPM9",,,"P31766",,,,,,,,,,,,,,,,,,,,,,
GALS_ECOLI,,,"P41030",,,,,"P31766",,,,,,,,,,,,,,,,,,,,,,
GALU_ECOLI,,,"Q7CQF2",,,,,,,,,,,,,,,,,,,,,,,,,,,
GARD_ECOLI,,,"Q8ZLV7",,,,,,,,,"P42240",,,,,,,,,,,,,,,,,,
GARR_ECOLI,,,"Q8ZLV8",,,,,,,,,,,,,,,,,,,"Q9Z597",,,,,,,,
GATD_ECOLI,,,"Q8ZLU7",,,,,,,,,,,,,,,,,,,,,,,,,,,
GATZ_ECOLI,,,"Q8ZLV1",,,,,,,,,,,,,,,,,,,,,,,,,,,
GCH1_ECOLI,,,,"Q8ZG15","Q9KLX5",,,"P43866",,,,,,,,,,,,,,,,,,,"Q980E8",,,
GCP_ECOLI,"Q9I5V7",,"P40731","Q74RQ9",,"Q5E2K2",,"P43764",,,,"O05518",,,,,,,,,,,,,,,,,,
GCSH_ECOLI,"Q9HTX6",,"Q8ZM75","Q8ZHI7",,,,,,,,,,,,,,,,,,,,,,,,,,
GCSP_ECOLI,"Q9HTX7",,"Q8ZM76","Q8ZHI8",,,,,,,,,,,"Q9RTF5",,,,,,,,,,,,,,,
GCST_ECOLI,"Q9HTX5",,"P64222","Q8ZHI6",,,,,,,,,,,,,,,,,,,,,,,,,,
GCVR_ECOLI,,,"Q8ZN70","16123240",,,,,,,,,,,,,,,,,,,,,,,,,,
GGT_ECOLI,,,"Q8ZLF7",,,,,,,"Q84DD1;O25743;11321265",,,,,,,,,,,,,,,,,,,,
GHRA_ECOLI,,,"Q8ZQ30",,,,,,,,,,,,,,,,,,,,,,,,,,,
GHRB_ECOLI,"Q9I1L0",,"Q8ZLA1","16124190;Q0W9V5",,,,,,,"Q53660",,,,,,,,,,,,,,,,,,,
GLCE_ECOLI,"Q9HTK4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLCF_ECOLI,"Q9HTK5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLDA_ECOLI,,,"Q8ZKM9",,,,,,,,,,,,,,,,,,,,,,,,,,,
GLGB_ECOLI,,,"Q8ZLG5","Q8ZA75","Q9KNE8",,,"P45177",,,,,,,,,,,,,,,,,,,,,,
GLGS_ECOLI,,,"P58614",,,,,,,,,,,,,,,,,,,,,,,,,,,
GLGX_ECOLI,,,"Q8ZLG6","Q8ZA76",,,,"P45178",,,,,,,,,,,,,,,,,,,,,,
GLMM_ECOLI,"Q9HV50",,,"Q8ZBB8","Q9KU84","Q5E7L9;Q5E7M0",,"P45164",,,,,,,"Q9RSQ3","O84822","Q9Z6U1",,,,,,,,,,,,,
GLMS_ECOLI,"Q9HT25",,"Q8ZKX1","Q8Z9S8","Q9KUM8","Q5E279",,"P44708",,,,,,,,,,,,,,,,"O83833",,,,,,
GLMU_ECOLI,"Q9HT22",,"Q8ZKX0","Q8Z9S7","Q9KNH7",,,"P43889",,"O25393",,"P14192","Q81VZ1","Q97R46","Q9RW61",,,"O66863","Q9X1W4","P96382",,"Q8CJX6",,,,,,,,
GLNA_ECOLI,"Q9HU65",,"P0A1P6","Q8CZM5","O30619;Q9KNJ2",,,"P43794",,,,,,,,,,,,,,,,,,,,,,
GLNB_ECOLI,,,,"16123100","Q9KPX3",,,"P43795",,,,,,,,,,,,,,,,,,,,,,
GLND_ECOLI,,,"P23679","Q8ZH68","Q9KPV0","Q9XC07",,"P43919",,,,,,,,,,,,,,,,,,,,,,
GLNE_ECOLI,"Q9HUF4",,"Q8ZLY6",,"Q9KPD4","Q5E2L6",,"P44419",,,,,,,,,,"O67651",,,"Q5YZ84","Q8CK02",,,,,,,,
GLNH_ECOLI,,,,"16122733",,,,,,,,,,,,,,,,,,,,,,,,,,
GLNQ_ECOLI,,,"Q7CQW2","16122735",,,,,,,,,,,,,,,,,,,,,,,,,,
GLO2_ECOLI,,,"Q8ZRM2","Q0WHW5","Q9KPX6","Q5E3G3","A9I9R0",,,,,,,,,,,,,,,,,,,,,,,
GLPB_ECOLI,,,,,"Q9KLJ6","Q5E0X7",,"P43800",,,,,,,,,,,,,,,,,,,,,"Q9HNS3",
GLPD_ECOLI,,,"Q8ZLH4","Q0WA80",,,,,,,,,,,,,,,,,,,,,,,,,,
GLPE_ECOLI,"Q9I5U8",,"P64251","Q8ZJI3","Q9KVP1","Q5E203",,"P44819",,,,,,,,,,,,,,,,,,,,,,
GLPG_ECOLI,"Q9HZC2",,"Q8ZLH5",,"Q9KVP2","Q5E204",,"P44783",,,,,,,,,,,,,,,,,,,,,,
GLPK_ECOLI,"Q51390",,"Q8ZKP3","Q8D1T6","Q9KLJ9","Q5E0Z0",,"P44400",,,,"P18157","Q81U58","P63742","Q9RT38",,,,"Q9X1E4",,,,"O51257",,,,"P95907;Q97XW1",,,"Q8TZI8"""
GLPQ_ECOLI,,,"Q8ZNG7","Q8D1J5",,,,"Q06282",,,,,,,,,,,,,,,,"Q549G6",,,,,,
GLPR_ECOLI,,,"Q8ZLH6","16120465","Q9KL10","Q5E0Y8",,"P44784",,,,,,,,,,,,,,,,,,,,,,
GLPX_ECOLI,,,"Q8ZKP4","Q8CLW7","Q9KNP3","Q5E8E2",,"P44811",,,,,,,,,,,,,,,,,,,,,,
GLRX1_ECOLI,,,"AAD18026",,"Q9KSW0",,,"P45242",,,,,,,,,,,,,,,,,,,,,,
GLRX3_ECOLI,,,"Q7CPH7","16120417;Q7CLB8",,,,,,,,,,,,,,,,,,,,,,,,,,
GLRX4_ECOLI,,,"Q7CQK9",,,,,,,,,,,,,,,,,,,,,,,,,,,
GLSA2_ECOLI,"Q9I387",,"Q8ZPI2",,"Q9KUR1","Q5E7S8",,,,,,,,,,,,,,,,"P57755",,,,,,,,
GLTB_ECOLI,"Q9HUD5;P95456",,"Q8ZLR4","Q0WB94;Q8D1R4;16123701","Q9KPJ1",,,,,,,,,,,,,,,,,,,,,,,,,
GLTD_ECOLI,"P95457","Q9Z5Y6","Q8ZLR3","16123702;Q8ZIZ2;Q8D1E7;Q8D1R3","Q9KPJ0",,,,,,,,,,,,,,,,,,,,,,,,,
GLTI_ECOLI,,,"Q9ZF60",,,,,,,,,,,,,,,,,,,,,,,,,,,
GLTP_ECOLI,,,"Q8ZKE9",,,,,,,,,,,,,,,,,,,,,,,,,,,
GLTS_ECOLI,,,"Q8ZL37",,,,,"P45240",,"O26036",,,,,,,,,,,,,,,,,,,,
GLUQ_ECOLI,"Q9HV75",,"Q8ZRQ7","Q8ZBL1","Q9KUC7",,,,,,,,,,"Q9RTR9",,,,,,"Q5Z380",,,,,,,,,
GLXK2_ECOLI,,,"Q8ZLV9",,,,,,,,,,,,,,,,,,,,,,,,,,,
GLXR_ECOLI,"Q9I3L2",,"Q8ZR83",,,,,,,,,,,,,,,,,,,,,,,,,,,
GLYA_ECOLI,,,"P0A2E1","Q8ZCR1","Q9KTG1","Q5E706",,"P43844",,,,,,,,,,,,,,,,,,,,,,
GM4D_ECOLI,,,"Q9F7A4",,,,,,,,,,,,,,,,,,,,,,,,,,,
GMR_ECOLI,,,"Q8ZP53",,,,,,,,,,,,,,,,,,,,,,,,,,,
GNTK_ECOLI,,,"Q7CPK4",,,,,,,,,,,,,,,,,,,,,,,,,,,
GNTP_ECOLI,,,,"Q7CGL9",,,,,,,,,,,,,,,,,,,,,,,,,,
GNTU_ECOLI,,,"Q8ZLG3",,,,,,,,,,,,,,,,,,,,,,,,,,,
GNTX_ECOLI,"Q9I629",,"Q8ZLI8","Q7CFX6","Q9KNL3","Q5E8N4",,"P31773",,,,"P39147","Q81X24","Q97N60","Q9RUJ7",,,"O67842","Q9X1S0","Q7D5V1;O05887","Q5YQT2",,"O51738","O83755",,,,,,
GPH_ECOLI,"Q9S586",,"Q8ZLK5","Q8ZJF3","Q9KNV6","Q5E2G4",,"P44755;Q19V22",,,,"Q9JMQ2","Q6HQY9",,,,,"O67359",,,,,,,,,,,,
GPMA_ECOLI,,,"Q8ZQS2","Q8ZGY5",,,,,,,,,"Q6KSL4",,,,,,,,,,"O51602","P96121",,,,,,
GPMB_ECOLI,,,"Q8ZJU8","Q8ZIP0",,,,,,,,,,,,,,,,,,,,,,,,,,
GPMI_ECOLI,"Q9HU53",,"Q8ZL56",,"Q9KV22","Q5E8E9",,,,"P56196",,,,,,,,,,,,,,,"P47669","P75167",,,"Q9HNY7",
GPPA_ECOLI,,,"P0A267","Q74R94","Q30K75;Q30K76;Q9KV53;Q30K78;Q30K82","Q5E8U7",,,,,,,,,,,,,,,,,,,,,,,,
GREA_ECOLI,"Q9HV46",,,"Q8ZBB3","Q9KU89","Q5E7M5",,"P43881","P27640",,,,,,,,,,,,,,,,,,,,,
GRPE_ECOLI,"Q9HV42",,"Q7CPZ4","Q7CH40","O30862","Q5E3A5","B5FA13","P43732;1074181",,,"P63191",,,,,,,,,,,,,,,,,,,
GSA_ECOLI,"1360907",,"P21267","Q8ZBL9","Q9KU97","Q5E2W6",,,,,,,,,,,,,,,,,,,,,,,,
GSH1_ECOLI,,,,"Q8ZBU2","Q9KUG5","Q5E7F8",,,,,,,,,,,,,,,,,,,,,,,,
GSHB_ECOLI,"Q9I697",,"P58580","P58582","Q9KUP7","Q5E7R6",,,,,,,,,,,,,,,,,,,,,,,,
GSHR_ECOLI,,,"Q8ZLD4","16124104;Q8CZL0","Q9KVG0",,,"P43783",,,,,,"Q97RM0",,,,,,,,,,,,,,,,
GSIA_ECOLI,,,"Q8ZQM4",,"CAA13169",,,,,,,,,,,,,,"Q9WYH8",,,,,,,,,,,
GSIB_ECOLI,,,"Q8ZQM3",,,,,,,,,,,,,,,,,,,,,,,,,,,
GSPA_ECOLI,,,,,"Q9KPC7","Q5E2K8",,,,,,,,,,,,,,,,,,,,,,,,
GSPE_ECOLI,"Q00512",,,"45442608","P37093",,,,,,,,,,,,,,,,,,,,,,,,,
GSPK_ECOLI,,,,"Q7CGY6",,,,,,,,,,,,,,,,,,,,,,,,,,
GSPL_ECOLI,,,,"Q0WIM5",,,,,,,,,,,,,,,,,,,,,,,,,,
GST_ECOLI,,,"Q8ZPM7","16122590;Q8D0L3",,,,,,,,,,,,,,,,,,,,,,,,,,
GTRB_ECOLI,,,"Q8ZR60",,,,,,,,,,,,,,,,,,,,,,,,,,,
GUAA_ECOLI,"Q9HXM6",,"Q8ZN60","Q8ZCU4","Q9KTW2","Q5E763",,"P44335",,"O25165",,"P29727","Q81VE0","P64297","Q9RT91",,"Q9Z913","O66601","Q9X2E0","P0A5A1","Q5Z1E9","Q9L0H2","P49056",,,,,"Q9Y933",,"Q8U0R9"""
GUAC_ECOLI,,,"Q8ZRT5","Q8ZBI2","Q9KMW9","Q5DZN1",,,,,,,,,,,,,,,,,,,,,,,,
GUAD_ECOLI,,,,,,,,,,,,,,,"Q9RZ05",,,,,,,,,,,,,,,
GUDP_ECOLI,,,"Q8ZMD7",,,,,,,,,,,,,,,,,,,,,,,,,,,
GUDX_ECOLI,,,"Q8ZMD8",,,,,,,,,,,,,,,,,,,"Q9F3A5",,,,,,,,
GUN_ECOLI,,"Q8RSY9","Q7B8Q5;Q8ZLB7","Q8CZL5",,"Q5DZ44",,,,,,,,,,,,,,,,,,,,,,,,
GYRA_ECOLI,,,"P37411","Q7CH96","Q9KSJ8","Q5E5J7",,"P43700","P41080","P48370",,,,,,,,,,,,,,,,,,,"Q9HR29",
GYRI_ECOLI,,,,,,,,,,,"AAN07145",,"Q81NW5",,,,,,,,,,,,,,,,,
HCAT_ECOLI,,,"Q7CQ09",,,,,,,,,,,,,,,,,,,,,,,,,,,
HCHA_ECOLI,"Q9I4K0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCR_ECOLI,,,"Q8ZQE9","NP_404952;Q8D039;16121639",,,,,,,,,,,,,,,,,,,,,,,,,,
HELD_ECOLI,,,"Q8ZQ65","Q0WGX7","Q9KLM6","Q5E4C9",,,,,,,,,,,,,,,,,,,,,,,,
HEM1_ECOLI,,,"P0A1Q6","Q8ZEX9","Q9KQ24","Q5E6T4",,,,,,,,,,,,,,,,,,,,,,,,
HEM3_ECOLI,"Q60169",,"P0A1Q8","P46355","Q9KVM1","Q5E8T5",,,,,,,,,,,,,,,,,,,,,,,,
HEM4_ECOLI,,,"Q9L6Q3",,"Q9KVM2","Q5E8T6",,,,,,,,,,,,,,,,,,,,,,,,
HEM6_ECOLI,"P43898",,"P33771","Q8ZCF9","Q9KVT4",,,,,,,,,,,,,,,,,,,,,,,,,
HEMG_ECOLI,,,"Q9L6L1",,"Q9KNI4","Q5E8X3",,,,,,,,,,,,,,,,,,,,,,,,
HEMH_ECOLI,,,"P37408","Q8ZC98","Q9KTB6","Q5E6Q7",,"P43868",,,,,,,,,,,,,,,,,,,,,,
HEMK_ECOLI,"Q9HVC8",,,"22126174","Q9KQ26","Q5E6T2",,"P45253",,,,,,,,,,,,,,,,,,,,,,
HEXR_ECOLI,,,"Q8ZNW1","Q8D0F2","Q9KSV8",,,,,,,,,,,,,,,,,,,,,,,,,
HFLX_ECOLI,"Q9HUM1",,,,"Q9KV10","Q5E2C9",,,,,,,,,,,,,,,,,,,,,,,,
HFQ_ECOLI,"Q9HUM0",,"P0A1R0","Q8ZIW2","Q9KV11",,,"P44437",,,,,,,,,,,,,,,,,,,,,,
HINT_ECOLI,,,"Q7CQR0","Q7CJ15","Q9KQV1","Q5E5R7",,"P44956",,,,,,,,,,,,,,,,,,,,,,
HIPA_ECOLI,,,,,,"Q5E4T1",,,,,,,,,,,,,,,,,,,,,,,,
HIPB_ECOLI,,,,,,"Q5E4T2",,,,,,,,,,,,,,,,,,,,,,,,
HIS1_ECOLI,,,,"Q8ZFX4","Q9KSX4",,,"P43853",,,,,,,,,,,,,,,,,,,,,"Q9HN53",
HIS2_ECOLI,,,"P10367","Q8ZFY1","Q9KSW7","Q5E632",,,,,,,,,,,,"O67780","Q9X0C5",,,,,,,,"O33776",,,"P58853"""
HIS4_ECOLI,,,"68457;P10372","Q8ZFX9","Q9KSW9","Q5E634",,"P44435",,,,"O35006","Q81T59",,,,,,,,,,,,,,,,,
HIS6_ECOLI,"Q9HU44",,,"Q8ZFY0","Q9KSW8",,,"P44436",,,,"O34727","Q81T58",,"Q9RWD7",,,"O66567","Q9X0C6","O53908",,"Q9S2T7",,,,,"O33774",,"Q9HR52","P58800"""
HIS7_ECOLI,,,"P10368","Q8ZFX7","Q9KSX1","Q5E636",,"P44327",,,,,,,,,,,,,,,,,,,,,,
HIS8_ECOLI,,,"P10369","Q8ZFX6","Q9KSX2","Q5E637",,"P44423",,,,,,,,,,,,,,,,,,,,,,
HISX_ECOLI,,,"P10370",,"Q9F854","Q5E638",,"P44001",,,,,,,,,,,,,,,,,,,,,,
HLDE_ECOLI,"Q9HUG9",,"Q7CPR9;AAK20933","Q8ZI60",,"Q5E2L7","B5FB67","O05074",,"O25529",,,,,,,,"O66572",,,,,,,,,,,"Q9HRB2","Q8U1T9"""
HMP_ECOLI,"Q9I0H4",,"AAC24484;P26353","Q8ZCR0","Q9KMY3;O87059;CAA13157","Q5E2D5",,,,,,"P49852","Q81T23",,"Q9RYR5",,,,,,,"Q9KZ38;Q9L131",,,,,,,,
HNS_ECOLI,,,,"Q8D0G8;16122406",,,,,,,,,,,,,,,,,,,,,,,,,,
HOFB_ECOLI,,,"Q8ZRT3","16123575",,,,,,,,,,,,,,,,,,,,,,,,,,
HOFC_ECOLI,,,"Q8ZRT4","Q7CKF0",,,,,,,,,,,,,,,,,,,,,,,,,,
HOFQ_ECOLI,,,"Q8ZLK2","Q7CFW4",,,,"P31772;Q5D8D5",,,,,,,,,,,,,,,,,,,,,,
HOLA_ECOLI,"Q9HX31",,,"Q7CJV3","Q9KTE9","Q5E6V0",,"P43747",,,,"P54459",,,,,,,,,,,,,,,,,,
HOLB_ECOLI,"P52024",,"Q8ZQ12","O69170","Q9KQI3","Q5E417",,"P43748",,,,,,,,,,,,,,,,,,,,,,
HOLC_ECOLI,"O68823",,"Q8ZK30","Q8D1C1","Q9KGU8;Q9KP74","Q5E7T9",,"P43749",,,,,,,,,,,,,,,,,,,,,,
HOLD_ECOLI,,,"Q8ZJW5","Q7CG57","Q9KU67","Q5E7K3",,"P43750",,,,,,,,,,,,,,,,,,,,,,
HOLE_ECOLI,,,"Q93GP8","Q8D098;16122036",,,,,,,,,,,,,,,,,,,,,,,,,,
HPPK_ECOLI,,,"Q8ZRQ9","16123549","Q9KUC9","Q5E2T3",,"P43777",,,,,,,,,,,,,,,,,,,,,,
HPRT_ECOLI,,,"O33799","16123557","Q9KUD7",,,,,,,,,,,,,,,,,,,,,,,,,
HRPA_ECOLI,"Q9HYU6",,"Q8ZP95","Q8D0K4","Q9KS77","Q5E4Q1",,"P45018",,,,,,,,,,,,,"Q5YT46","Q9RKJ4","O51767","O83538",,,,,,
HRPB_ECOLI,"Q9HX55",,"Q8ZRQ4","Q0WBQ2","Q9KUC1","Q5E2T8",,,,,,,,,,,,,,,,,,,,,,,,
HSCB_ECOLI,"Q9ZFQ3;Q9HXJ1",,"Q8ZN41","Q8ZCS4","Q9KTX9","Q5E781",,"Q57006","Q9ZDW4",,,,,,,,,,,,,,,,,,,,,
HSLO_ECOLI,"Q9HTZ6",,"Q8ZLJ4",,"Q9KNK2","Q5E1X4",,"P44877",,,,,,,,,,,,,,,,,,,,,,
HSLV_ECOLI,,,"P0A271","Q8ZJJ4",,"Q5E2H4",,"P43772",,,,,,,,,,,,,,,,,,,,,,
HSPQ_ECOLI,,,"Q7CQT0",,,,,,,,,,,,,,,,,,,,,,,,,,,
HSRA_ECOLI,,,"Q8ZKV6",,,,,"P44903",,,,,,,,,,,,,,,,,,,,,,
HTPG_ECOLI,"Q9I3C5",,"P58480","P58482","P22359","Q5E6Q9",,"P44516","Q9ZCB9","P56116",,,,,,,,,,,,,"P42555",,,,,,,
HTPX_ECOLI,,,"P65817",,"Q9KSY9","Q5E5P9",,"P44840",,,,,,,,,,,,,,,,,,,,,,
HYAD_ECOLI,,,"Q8ZPH2",,,,,,,,,,,,,,,,,,,,,,,,,,,
HYAE_ECOLI,,,"Q8ZP25",,,,,,,,,,,,,,,,,,,,,,,,,,,
HYBD_ECOLI,,,"Q8ZM17",,,,,,,,,,,,,,,"O66898",,,,,,,,,,,,
HYBG_ECOLI,,,"Q7CPT0",,,,,,,,,,,,,,,,,,,,,,,,,,,
HYCE_ECOLI,,,"Q8ZMJ0",,,,,,,,,,,,,,,,,,,,,,,,,,,
HYCF_ECOLI,,,"Q7CPY2",,,,,,,,,,,,,,,,,,,,,,,,,,,
HYCG_ECOLI,,,"Q8ZMJ1",,,,,,,,,,,,,,,,,,,,,,,,,,,
HYI_ECOLI,"Q9I3L1",,"Q8ZR84",,,,,,,,,,,,,,,,,,,,,,,,,,,
HYPA_ECOLI,,,"P64419",,,,,,,,,,,,,,,,,,,,,,,,,,,
